construct,instrument,auc,precision,recall,f1,instrument_prevalence,human_prevalence
BI,dictionary,0.747,0.85,0.539,0.66,0.212,0.335
BI,encoder,0.793,0.677,0.612,0.643,0.303,0.335
BI,entailment,0.951,0.78,0.916,0.842,0.393,0.335
BI,LLM,0.94,0.84,0.944,0.889,0.376,0.335
SN,dictionary,0.828,0.708,0.773,0.739,0.289,0.265
SN,encoder,0.845,0.641,0.759,0.695,0.314,0.265
SN,entailment,0.813,0.309,0.943,0.466,0.808,0.265
SN,LLM,0.911,0.612,0.908,0.731,0.393,0.265
