construct,instrument,auc,prec,rec,f1,inst_prev,human_prev
BI,dictionary,0.7473,0.8496,0.5393,0.6598,0.2124,0.3346
BI,encoder,0.7933,0.677,0.6124,0.6431,0.3026,0.3346
BI,entailment,0.9514,0.7799,0.9157,0.8424,0.3929,0.3346
SN,dictionary,0.8279,0.7078,0.773,0.739,0.2895,0.265
SN,encoder,0.8449,0.6407,0.7589,0.6948,0.3139,0.265
SN,entailment,0.8133,0.3093,0.9433,0.4658,0.8083,0.265
